author,genre,pages,publisher,rating,title,votes,year
Kathryn Stockett,Fiction,464,G.P. Putnam's Sons,4.46,The Help,2441729,2009
Orson Scott Card,Science Fiction,324,Tor,4.30,Ender's Game,1249277,2004
Cassandra Clare,Fantasy,485,Margaret K. McElderry Books,4.08,City of Bones,1820420,2007
Douglas Adams,Science Fiction,216,Del Rey Books,4.22,The Hitchhiker's Guide to the Galaxy,1634108,2005
Paulo Coelho,Fiction,182,HarperOne,3.90,The Alchemist,2528282,2014
John Steinbeck,Classics,112,Penguin Books,3.88,Of Mice and Men,2219374,2002
Audrey Niffenegger,Fiction,500,Zola Books,3.99,The Time Traveler's Wife,1679436,2013
J.D. Salinger,Classics,277,Back Bay Books,3.81,The Catcher in the Rye,3102470,2001
Aldous Huxley,Classics,268,HarperPerennial / Perennial Classics,3.99,Brave New World,1634631,1998
Bram Stoker,Classics,488,Norton,4.01,Dracula,1082668,1986
Gabriel García Márquez,Fiction,417,Harper,4.10,One Hundred Years of Solitude,852824,2003
Khaled Hosseini,Fiction,372,Riverhead Books,4.40,A Thousand Splendid Suns,1324173,2007
Frances Hodgson Burnett,Classics,331,Children's Classics,4.14,The Secret Garden,1026787,1998
S.E. Hinton,Classics,192,Puffin Books (US/CAN),4.11,The Outsiders,1115828,1997
E.B. White,Classics,184,HarperCollinsPublishers,4.19,Charlotte's Web,1621311,2001
George R.R. Martin,Fantasy,835,Bantam,4.44,A Game of Thrones,2227681,2005
Homer,Classics,541,Penguin Classics,3.79,The Odyssey,956734,2006
Mark Twain,Classics,327,Penguin Classics,3.82,The Adventures of Huckleberry Finn,1209362,2002
Alice Sebold,Fiction,372,"Little, Brown and Company",3.83,The Lovely Bones,2182521,2006
Dr. Seuss,Childrens,64,Random House Books for Young Readers,4.30,Green Eggs and Ham,699494,1988
Yann Martel,Fiction,460,Seal Books,3.93,Life of Pi,1478044,2006
Vladimir Nabokov,Classics,331,Penguin,3.88,Lolita,742116,1995
Khaled Hosseini,Fiction,371,Riverhead Books,4.32,The Kite Runner,2760023,2004
Charles Dickens,Classics,489,Penguin Books,3.86,A Tale of Two Cities,876342,2003
Maurice Sendak,Childrens,38,Red Fox,4.23,Where the Wild Things Are,916031,2000
Mary Wollstonecraft Shelley,Classics,260,Penguin Classics,3.84,Frankenstein: The 1818 Text,1342850,2018
Sara Gruen,Fiction,335,Algonquin Books,4.10,Water for Elephants,1497484,2007
Margaret Atwood,Fiction,314,Anchor Books,4.12,The Handmaid's Tale,1733762,1998
Lois Lowry,Young Adult,208,Ember,4.13,The Giver,2100720,2006
George Orwell,Classics,298,Houghton Mifflin Harcourt,4.19,1984,3803191,2013
J.K. Rowling,Young Adult,759,Arthur A. Levine Books,4.62,Harry Potter and the Deathly Hallows,3238467,2007
Frank Herbert,Science Fiction,658,Ace Books,4.25,Dune,1067505,2019
Kurt Vonnegut Jr.,Classics,275,Dial Press,4.08,Slaughterhouse-Five,1239817,1999
Stephen King,Horror,1152,Doubleday Books,4.34,The Stand,688646,1990
Joseph Heller,Classics,453,Simon & Schuster,3.98,Catch-22,777371,2004
Ken Follett,Historical,976,NAL Trade,4.33,The Pillars of the Earth,703471,2002
Stephen Chbosky,Young Adult,213,MTV Books/Pocket Books,4.22,The Perks of Being a Wallflower,1501913,1999
Roald Dahl,Childrens,240,Puffin Books,4.33,Matilda,792675,1998
Richard  Adams,Classics,478,Avon Books,4.07,Watership Down,457115,1975
Louisa May Alcott,Classics,449,Signet Classics,4.12,Little Women,1933624,2004
Arthur Conan Doyle,Classics,389,Oxford University Press,4.30,The Adventures of Sherlock Holmes,271308,1998
Diana Gabaldon,Historical,850,Dell Publishing Company,4.24,Outlander,935784,2005
J.K. Rowling,Fantasy,435,Scholastic Inc.,4.58,Harry Potter and the Prisoner of Azkaban,3436547,2004
Stieg Larsson,Fiction,480,Knopf,4.15,The Girl with the Dragon Tattoo,2897386,2008
Daphne du Maurier,Classics,449,"Little, Brown and Company",4.24,Rebecca,539799,2013
Jodi Picoult,Fiction,423,Washington Square Press,4.09,My Sister's Keeper,1133272,2005
Charles Dickens,Classics,544,Oxford University Press,3.79,Great Expectations,724030,1998
Ken Kesey,Classics,325,Signet,4.20,One Flew Over the Cuckoo's Nest,679386,1963
J.R.R. Tolkien,Fantasy,527,Ballantine Books,4.38,The Fellowship of the Ring,2568977,1973
William Goldman,Fantasy,456,Ballantine Books,4.26,The Princess Bride,841048,2003
Alice Walker,Classics,304,Penguin Books,4.25,The Color Purple,594029,2019
Anthony Burgess,Classics,213,W. W. Norton & Company,4.00,A Clockwork Orange,655366,2019
Frank McCourt,Nonfiction,452,Harper Perennial,4.13,Angela's Ashes,586837,2005
Fyodor Dostoevsky,Classics,796,"Farrar, Straus and Giroux",4.34,The Brothers Karamazov,277767,2002
Cormac McCarthy,Fiction,241,Alfred A. Knopf,3.98,The Road,794755,2006
Richelle Mead,Young Adult,332,Razorbill,4.11,Vampire Academy,604813,2007
Betty  Smith,Classics,496,HarperCollins Publishers,4.28,A Tree Grows in Brooklyn,422301,2006
Hermann Hesse,Classics,152,Bantam Books,4.05,Siddhartha,669261,1981
Miguel de Cervantes Saavedra,Classics,1023,Penguin Books,3.89,Don Quixote,238718,2003
Philip Pullman,Fantasy,399,Alfred A. Knopf Books for Young Readers,4.01,The Golden Compass,1408042,1996
Ernest Hemingway,Classics,96,Scribner,3.79,The Old Man and the Sea,973923,1996
Nicholas Sparks,Romance,227,Grand Central Publishing,4.13,The Notebook,1496265,2000
Edgar Allan Poe,Classics,821,"Doubleday & Company, Inc.",4.37,The Complete Stories and Poems,221157,1984
Madeleine L'Engle,Fantasy,218,Square Fish,3.99,A Wrinkle in Time,1119484,2017
A.A. Milne,Classics,161,Dutton Juvenile,4.34,Winnie-the-Pooh,301311,2001
Anne Rice,Horror,346,Ballantine Books,4.01,Interview with the Vampire,530275,2004
Ayn Rand,Fiction,1168,Plume,3.69,Atlas Shrugged,372018,1999
J.K. Rowling,Fantasy,734,Scholastic,4.57,Harry Potter and the Goblet of Fire,3055600,2002
Sylvia Plath,Classics,294,Harper Perennial Modern Classics,4.03,The Bell Jar,720615,2006
Leo Tolstoy,Classics,964,Vintage,4.07,Anna Karenina,751633,2012
Barbara Kingsolver,Fiction,546,Harper Perennial Modern Classics,4.08,The Poisonwood Bible,696113,2005
